country,lon,lat,population
Mongolia,102.94640620846634,46.82368112626357,3225167.0
India,79.59370376325381,22.92500640740852,1366417754.0
Bangladesh,90.26792827719598,23.83946179534406,163046161.0
Bhutan,90.4724248062037,27.427968649102027,763092.0
Nepal,84.01317367692529,28.23944001904935,28608710.0
Pakistan,69.41399806318127,29.973460025547393,216565318.0
Afghanistan,66.08669022192831,33.85639928169076,38041754.0
Tajikistan,71.03443504896113,38.58308146421082,9321018.0
Kyrgyzstan,74.62040481092558,41.50689371318262,6456900.0
Turkmenistan,59.27543026236141,39.09124018017583,5942089.0
Iran,54.285451496891426,32.51891731762539,82913906.0
Syria,38.54423941961137,35.012614281129,17070135.0
Armenia,45.00029001101479,40.21660761230143,2957731.0
Sweden,16.59626584684802,62.811484968080336,10285453.0
